COL_ID	pal-1	tbx-8	tbx-9	elt-1	hnd-1	scrt-1	cwn-1	unc-120	hlh-1	nob-1	elt-3	nhr-25	mab-21	lin-26
pal-1	0	14	10	15	14	9	10	16	17	19	16	17	16	11
tbx-8	14	0	12	1	0	17	8	10	13	13	16	11	18	11
tbx-9	10	12	0	11	12	9	12	12	13	15	14	13	12	15
elt-1	15	1	11	0	1	18	9	9	12	12	15	10	17	10
hnd-1	14	0	12	1	0	17	8	10	13	13	16	11	18	11
scrt-1	9	17	9	18	17	0	15	17	18	20	17	18	17	18
cwn-1	10	8	12	9	8	15	0	10	13	13	16	11	18	7
unc-120	16	10	12	9	10	17	10	0	3	3	6	1	8	9
hlh-1	17	13	13	12	13	18	13	3	0	2	3	2	5	12
nob-1	19	13	15	12	13	20	13	3	2	0	5	2	5	10
elt-3	16	16	14	15	16	17	16	6	3	5	0	5	4	15
nhr-25	17	11	13	10	11	18	11	1	2	2	5	0	7	10
mab-21	16	18	12	17	18	17	18	8	5	5	4	7	0	15
lin-26	11	11	15	10	11	18	7	9	12	10	15	10	15	0
