"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"1"	0	14	10	15	14	9	10	16	17	19	16	17	16	11
"2"	14	0	12	1	0	17	8	10	13	13	16	11	18	11
"3"	10	12	0	11	12	9	12	12	13	15	14	13	12	15
"4"	15	1	11	0	1	18	9	9	12	12	15	10	17	10
"5"	14	0	12	1	0	17	8	10	13	13	16	11	18	11
"6"	9	17	9	18	17	0	15	17	18	20	17	18	17	18
"7"	10	8	12	9	8	15	0	10	13	13	16	11	18	7
"8"	16	10	12	9	10	17	10	0	3	3	6	1	8	9
"9"	17	13	13	12	13	18	13	3	0	2	3	2	5	12
"10"	19	13	15	12	13	20	13	3	2	0	5	2	5	10
"11"	16	16	14	15	16	17	16	6	3	5	0	5	4	15
"12"	17	11	13	10	11	18	11	1	2	2	5	0	7	10
"13"	16	18	12	17	18	17	18	8	5	5	4	7	0	15
"14"	11	11	15	10	11	18	7	9	12	10	15	10	15	0
